person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,total_debt,home_MORTGAGE,home_OTHER,home_OWN,home_RENT,intent_DEBTCONSOLIDATION,intent_EDUCATION,intent_HOMEIMPROVEMENT,intent_MEDICAL,intent_PERSONAL,intent_VENTURE,free_cash_flow,net_income_after_total_debt,risk_emp_debt,adjusted_loan_to_income
21,9600,5,1,1000,11.14,0,0.1,0,2,36,0.104166667,1607.802794,0.271646124,2607.802794,0,0,1,0,0,1,0,0,0,0,8640,6992.19721,0.016666667,0.011359973
25,9600,1,2,5500,12.87,1,0.57,0,3,36,0.572916667,2760.505633,0.860469337,8260.505633,1,0,0,0,0,0,0,1,0,0,4128,1339.494365,0.285,0.062479853
23,65500,4,2,35000,15.23,1,0.53,0,2,12,0.534351145,7155.28615,0.643592155,42155.28615,0,0,0,1,0,0,0,1,0,0,30785,23344.71385,0.106,0.04818393
24,54400,8,2,35000,14.27,1,0.55,1,4,36,0.643382353,15626.15344,0.930627821,50626.15344,0,0,0,1,0,0,0,1,0,0,24480,3773.846538,0.061111111,0.059003505
21,9900,2,0,2500,7.14,1,0.25,0,2,36,0.252525253,2211.741134,0.475933448,4711.741134,0,0,1,0,0,0,0,0,0,1,7425,5188.258865,0.083333333,0.02744723
26,77100,8,1,35000,12.42,1,0.45,0,3,36,0.453955901,21503.49572,0.732859867,56503.49572,0,0,0,1,0,1,0,0,0,0,42405,20596.50425,0.05,0.040341339
24,78956,5,1,35000,11.11,1,0.44,0,4,36,0.443284868,14338.76103,0.624889318,49338.76103,0,0,0,1,0,0,0,1,0,0,44215.36,29617.23901,0.073333333,0.039309948
24,83000,8,0,35000,8.9,1,0.42,0,2,24,0.421686747,22017.85961,0.686962164,57017.85961,0,0,0,1,0,0,0,0,1,0,48140,25982.14039,0.046666667,0.037229747
21,10000,6,3,1600,14.74,1,0.16,0,3,24,0.16,1513.559984,0.311355998,3113.559984,0,0,1,0,0,0,0,0,0,1,8400,6886.44002,0.022857143,0.017371591
22,85000,6,1,35000,10.37,1,0.41,0,4,60,0.411764706,18584.00918,0.630400108,53584.00918,0,0,0,1,0,0,0,0,0,1,50150,31415.99082,0.058571429,0.036277492
21,10000,2,0,4500,8.63,1,0.45,0,2,60,0.45,2768.360555,0.726836055,7268.360555,0,0,1,0,0,0,1,0,0,0,5500,2731.63945,0.15,0.048857599
23,95000,2,0,35000,7.9,1,0.37,0,2,12,0.368421053,19816.97822,0.577020823,54816.97822,0,0,0,1,0,0,0,0,0,1,59850,40183.02182,0.123333333,0.032143826
26,108160,4,4,35000,18.39,1,0.32,0,4,36,0.323594675,25502.21951,0.55937703,60502.21951,0,0,0,1,0,1,0,0,0,0,73548.8,47657.78044,0.064,0.027916847
23,115000,2,0,35000,7.9,0,0.3,0,4,36,0.304347826,23157.14946,0.505714343,58157.14946,0,0,0,1,0,1,0,0,0,0,80500,56842.85056,0.1,0.026118232
23,500000,7,1,30000,10.65,0,0.06,0,3,12,0.06,83241.0251,0.22648205,113241.0251,1,0,0,0,1,0,0,0,0,0,470000,386758.975,0.0075,0.004572346
23,120000,0,0,35000,7.9,0,0.29,0,4,60,0.291666667,14264.43764,0.41053698,49264.43764,0,0,0,1,0,1,0,0,0,0,85200,70735.5624,0.29,0.024938888
23,92111,7,5,35000,20.25,1,0.32,0,4,36,0.379976333,21845.17042,0.617137697,56845.17042,0,0,0,1,0,0,0,1,0,0,62635.48,35265.82959,0.04,0.033241562
23,113000,8,3,35000,18.25,1,0.31,0,4,36,0.309734513,5971.362009,0.362578425,40971.36201,0,0,0,1,1,0,0,0,0,0,77970,72028.63798,0.034444444,0.026620582
24,10800,8,1,1750,10.99,1,0.16,0,2,12,0.162037037,1517.058751,0.30250544,3267.058751,1,0,0,0,0,1,0,0,0,0,9072,7532.941248,0.017777778,0.017446986
25,162500,2,0,35000,7.49,0,0.22,0,4,24,0.215384615,17757.118,0.324659188,52757.118,0,0,0,1,0,0,0,0,0,1,126750,109742.882,0.073333333,0.017951052
25,137000,9,4,34800,16.77,0,0.25,1,2,60,0.254014599,18184.53912,0.386748461,52984.53912,0,0,0,1,0,0,0,0,1,0,102750,84015.46084,0.025,0.021476167
22,65000,4,3,34000,17.58,1,0.52,0,4,60,0.523076923,13008.72815,0.723211202,47008.72815,0,0,0,1,0,1,0,0,0,0,31200,17991.27187,0.104,0.047199916
24,10980,0,0,1500,7.29,0,0.14,0,3,36,0.136612022,2916.701807,0.402249709,4416.701807,0,0,1,0,0,0,0,0,1,0,9442.8,6563.298195,0.14,0.014683273
22,80000,3,3,33950,14.54,1,0.42,1,4,36,0.424375,12357.35731,0.578841966,46307.35731,0,0,0,1,0,0,0,0,1,0,46400,33692.64272,0.105,0.037589258
24,67746,8,2,33000,12.68,1,0.49,0,3,60,0.48711363,10275.66867,0.638792972,43275.66867,0,0,0,1,0,0,1,0,0,0,34550.46,24470.33132,0.054444444,0.04379126
21,11000,3,4,4575,17.74,1,0.42,1,3,36,0.415909091,2129.21693,0.609474266,6704.21693,1,0,0,0,0,0,0,0,0,1,6380,4295.783074,0.105,0.044693815
23,11000,0,0,1400,9.32,0,0.13,0,3,36,0.127272727,1089.418699,0.226310791,2489.418699,0,0,1,0,0,0,0,0,1,0,9570,8510.581299,0.13,0.013676796
24,65000,6,1,32500,9.99,1,0.5,0,3,24,0.5,6983.784375,0.607442837,39483.78438,0,0,0,1,0,0,1,0,0,0,32500,25516.21559,0.071428571,0.045117567
21,11389,5,2,4000,12.84,1,0.35,1,2,24,0.351216086,1945.330055,0.522023888,5945.330055,0,1,0,0,0,1,0,0,0,0,7402.85,5443.66994,0.058333333,0.037601458
21,11520,5,1,2000,11.12,1,0.17,0,3,36,0.173611111,1827.634738,0.33225996,3827.634738,0,0,1,0,0,0,0,1,0,0,9561.6,7692.365261,0.028333333,0.018564208
25,120000,2,0,32000,6.62,0,0.27,0,2,60,0.266666667,11274.35788,0.360619649,43274.35788,0,0,0,1,0,0,0,0,0,1,87600,76725.64212,0.09,0.022801269
26,95000,7,2,31050,14.17,1,0.33,1,3,24,0.326842105,11548.38464,0.448404049,42598.38464,0,0,0,1,0,0,1,0,0,0,63650,52401.61534,0.04125,0.028516166
25,306000,2,2,24250,13.85,0,0.08,0,3,36,0.079248366,80018.58415,0.340747007,104268.5842,0,0,0,1,1,0,0,0,0,0,281520,201731.4159,0.026666667,0.006273946
26,300000,10,2,7800,13.49,0,0.03,0,4,36,0.026,57353.14644,0.217177155,65153.14644,1,0,0,0,0,0,0,1,0,0,291000,234846.8535,0.002727273,0.002061604
21,12000,5,0,2500,7.51,1,0.21,0,4,60,0.208333333,957.7560358,0.288146336,3457.756036,0,0,1,0,0,1,0,0,0,0,9480,8542.243968,0.035,0.022180239
22,48000,1,4,30000,18.39,1,0.63,0,2,60,0.625,13531.14492,0.906898852,43531.14492,0,0,0,1,0,1,0,0,0,0,17760,4468.855104,0.315,0.057983238
24,64000,8,3,30000,14.54,1,0.47,1,3,60,0.46875,18066.19512,0.751034299,48066.19512,0,0,0,1,1,0,0,0,0,0,33920,15933.80486,0.052222222,0.042356976
25,75000,4,3,30000,16.89,1,0.4,1,4,36,0.4,12013.3434,0.560177912,42013.3434,0,0,0,1,0,0,1,0,0,0,45000,32986.6566,0.08,0.035633929
23,71500,3,3,30000,15.31,1,0.42,0,4,60,0.41958042,10969.32042,0.572997488,40969.32042,0,0,0,1,1,0,0,0,0,0,41470,30530.67961,0.105,0.03753806
26,62050,6,4,30000,17.99,1,0.41,0,2,36,0.483481064,14168.08856,0.711814481,44168.08856,0,0,0,1,0,0,0,1,0,0,36609.5,17881.91145,0.058571429,0.043810591
24,12000,4,1,2500,12.69,1,0.21,0,3,36,0.208333333,3439.120914,0.494926743,5939.120914,0,0,1,0,0,0,0,0,0,1,9480,6060.879084,0.042,0.022180239
26,300000,10,0,20000,7.88,0,0.07,0,4,24,0.066666667,76506.53569,0.321688452,96506.53569,1,0,0,0,0,0,0,0,0,1,279000,203493.4644,0.006363636,0.005286163
23,300000,1,5,24250,19.41,0,0.08,1,2,12,0.080833333,30304.00539,0.181846685,54554.00539,0,0,1,0,0,1,0,0,0,0,276000,245445.9945,0.04,0.006409473
26,300000,9,1,10000,10.38,0,0.03,0,4,60,0.033333333,82483.87642,0.308279588,92483.87642,0,0,1,0,0,0,1,0,0,0,291000,207516.1236,0.003,0.002643082
26,300000,0,3,25000,15.33,0,0.08,0,3,24,0.083333333,80410.3068,0.351367689,105410.3068,1,0,0,0,0,1,0,0,0,0,276000,194589.6933,0.08,0.006607704
25,300000,9,4,18000,16.45,0,0.06,0,3,12,0.06,56336.23987,0.247787466,74336.23987,1,0,0,0,0,0,1,0,0,0,282000,225663.7602,0.006,0.004757547
26,80690,8,0,30000,7.49,1,0.37,0,3,36,0.371793283,21629.75523,0.639853206,51629.75523,0,0,0,1,0,0,0,0,1,0,50834.7,29060.24481,0.041111111,0.032906771
22,66300,4,1,30000,12.69,1,0.38,0,3,36,0.452488688,15791.82223,0.690676052,45791.82223,0,0,0,1,0,0,0,1,0,0,41106,20508.17775,0.076,0.040757549
26,89028,0,0,30000,6.62,1,0.34,0,3,36,0.336972638,16421.42318,0.521424981,46421.42318,0,0,0,1,1,0,0,0,0,0,58758.48,42606.57679,0.34,0.029567517
24,78000,4,3,30000,15.31,1,0.38,1,4,24,0.384615385,12106.04904,0.539821142,42106.04904,0,0,0,1,1,0,0,0,0,0,48360,35893.95092,0.076,0.034144096
23,78000,7,5,30000,18.62,1,0.38,1,3,24,0.384615385,9921.279468,0.511811275,39921.27947,0,0,0,1,1,0,0,0,0,0,48360,38078.72055,0.0475,0.034144096
23,92004,6,2,30000,15.23,1,0.33,1,3,12,0.326072779,19401.20153,0.536946236,49401.20153,0,0,0,1,0,0,0,0,1,0,61642.68,42602.7985,0.047142857,0.028528805
23,97000,7,1,30000,10.65,1,0.31,0,2,24,0.309278351,7328.235302,0.384827168,37328.2353,0,0,0,1,0,0,0,0,0,1,66930,59671.7647,0.03875,0.026934812
25,120000,9,0,30000,7.9,0,0.25,0,4,36,0.25,15007.29465,0.375060789,45007.29465,0,0,0,1,0,1,0,0,0,0,90000,74992.70532,0.025,0.02137619
26,280000,4,2,10000,15.96,0,0.04,1,3,36,0.035714286,41379.21436,0.183497194,51379.21436,0,0,0,1,0,0,0,0,1,0,268800,228620.7857,0.008,0.002847451
26,277104,0,1,20000,11.48,0,0.07,0,3,60,0.072175068,77101.25171,0.350414471,97101.25171,0,0,0,1,0,0,0,0,0,1,257706.72,180002.7484,0.07,0.005759192
